203.0.113.55 - - [15/Jan/2024:08:01:12 +0000] "GET / HTTP/1.1" 200 4523 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
10.0.0.5 - - [15/Jan/2024:08:05:33 +0000] "GET /dashboard HTTP/1.1" 200 8901 "-" "Mozilla/5.0 (Macintosh)"
185.220.101.77 - - [15/Jan/2024:09:12:01 +0000] "GET /.env HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:02 +0000] "GET /.git/HEAD HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:03 +0000] "GET /wp-config.php HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:04 +0000] "GET /config.php HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:05 +0000] "GET /backup.zip HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:06 +0000] "GET /admin HTTP/1.1" 403 290 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:07 +0000] "GET /phpmyadmin HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
185.220.101.77 - - [15/Jan/2024:09:12:08 +0000] "GET /api/v1/users HTTP/1.1" 404 162 "-" "python-requests/2.28.0"
91.240.118.172 - - [15/Jan/2024:10:30:01 +0000] "GET / HTTP/1.1" 200 4523 "-" "Nikto/2.1.6"
91.240.118.172 - - [15/Jan/2024:10:30:02 +0000] "GET /cgi-bin/test.cgi HTTP/1.1" 404 162 "-" "Nikto/2.1.6"
91.240.118.172 - - [15/Jan/2024:10:30:03 +0000] "GET /cgi-bin/printenv HTTP/1.1" 404 162 "-" "Nikto/2.1.6"
91.240.118.172 - - [15/Jan/2024:10:30:04 +0000] "GET /test.php HTTP/1.1" 404 162 "-" "Nikto/2.1.6"
91.240.118.172 - - [15/Jan/2024:10:30:05 +0000] "GET /phpinfo.php HTTP/1.1" 404 162 "-" "Nikto/2.1.6"
203.0.113.10 - - [15/Jan/2024:11:00:00 +0000] "GET / HTTP/1.1" 200 4523 "-" "Mozilla/5.0"
203.0.113.10 - - [15/Jan/2024:11:00:01 +0000] "GET /about HTTP/1.1" 200 3211 "-" "Mozilla/5.0"
203.0.113.10 - - [15/Jan/2024:11:00:02 +0000] "GET /contact HTTP/1.1" 200 2891 "-" "Mozilla/5.0"
